v (/net8 /net5); ac deg(V) (modelFiles=nom) X,v (/net8 /net5); ac deg(V) (modelFiles=nom) Y,v (/net8 /net5); ac deg(V) (modelFiles=spectre.scs:fs) X,v (/net8 /net5); ac deg(V) (modelFiles=spectre.scs:fs) Y,v (/net8 /net5); ac deg(V) (modelFiles=spectre.scs:sf) X,v (/net8 /net5); ac deg(V) (modelFiles=spectre.scs:sf) Y,v (/net8 /net5); ac deg(V) (modelFiles=spectre.scs:ff) X,v (/net8 /net5); ac deg(V) (modelFiles=spectre.scs:ff) Y,v (/net8 /net5); ac deg(V) (modelFiles=spectre.scs:ss) X,v (/net8 /net5); ac deg(V) (modelFiles=spectre.scs:ss) Y
0.1,-0.3331077213825609,0.1,-0.3331077213825609,0.1,-0.3331077213825609,0.1,-0.3056648157373578,0.1,-0.3566993281872979
0.1659586907437561,-0.5528102873163111,0.1659586907437561,-0.5528102873163111,0.1659586907437561,-0.5528102873163111,0.1659586907437561,-0.5072688843530399,0.1659586907437561,-0.5919601194916226
0.2754228703338167,-0.9173867809960879,0.2754228703338167,-0.9173867809960879,0.2754228703338167,-0.9173867809960879,0.2754228703338167,-0.8418182163926939,0.2754228703338167,-0.9823479529405525
0.4570881896148751,-1.522254931700315,0.4570881896148751,-1.522254931700315,0.4570881896148751,-1.522254931700315,0.4570881896148751,-1.396894188324019,0.4570881896148751,-1.630011673623551
0.7585775750291839,-2.525272521200453,0.7585775750291839,-2.525272521200453,0.7585775750291839,-2.525272521200453,0.7585775750291839,-2.317462136817317,0.7585775750291839,-2.703867087257491
1.258925411794168,-4.186160351589202,1.258925411794168,-4.186160351589202,1.258925411794168,-4.186160351589202,1.258925411794168,-3.842358105176189,1.258925411794168,-4.481475127647117
2.08929613085404,-6.925755380989993,2.08929613085404,-6.925755380989993,2.08929613085404,-6.925755380989993,2.08929613085404,-6.360051809814296,2.08929613085404,-7.41099331872723
3.467368504525318,-11.39745029370178,3.467368504525318,-11.39745029370178,3.467368504525318,-11.39745029370178,3.467368504525318,-10.48016117539601,3.467368504525318,-12.18132548136551
5.754399373371571,-18.49789989024541,5.754399373371571,-18.49789989024541,5.754399373371571,-18.49789989024541,5.754399373371571,-17.06606278788736,5.754399373371571,-19.71002400505447
9.549925860214364,-29.04001405774084,9.549925860214364,-29.04001405774084,9.549925860214364,-29.04001405774084,9.549925860214364,-26.99792140154378,9.549925860214364,-30.73341898825392
15.84893192461114,-42.65870039399687,15.84893192461114,-42.65870039399687,15.84893192461114,-42.65870039399687,15.84893192461114,-40.21538488299905,15.84893192461114,-44.61644573779909
26.30267991895383,-56.81801153346241,26.30267991895383,-56.81801153346241,26.30267991895383,-56.81801153346241,26.30267991895383,-54.52462486678979,26.30267991895383,-58.58835753857417
43.65158322401662,-68.49389450206242,43.65158322401662,-68.49389450206242,43.65158322401662,-68.49389450206242,43.65158322401662,-66.76077849260469,43.65158322401662,-69.79779139763062
72.44359600749904,-76.64363827329581,72.44359600749904,-76.64363827329581,72.44359600749904,-76.64363827329581,72.44359600749904,-75.49310619093822,72.44359600749904,-77.49832660689532
120.2264434617413,-81.8582066913493,120.2264434617413,-81.8582066913493,120.2264434617413,-81.8582066913493,120.2264434617413,-81.13834828650245,120.2264434617413,-82.39017664817243
199.526231496888,-85.07294628404149,199.526231496888,-85.07294628404149,199.526231496888,-85.07294628404149,199.526231496888,-84.63305991183597,199.526231496888,-85.39737285073942
331.1311214825913,-87.0264414054121,331.1311214825913,-87.0264414054121,331.1311214825913,-87.0264414054121,331.1311214825913,-86.76001457689202,331.1311214825913,-87.22279381734762
549.5408738576248,-88.20714914394459,549.5408738576248,-88.20714914394459,549.5408738576248,-88.20714914394459,549.5408738576248,-88.04630575920638,549.5408738576248,-88.32565789575192
912.0108393559101,-88.91934385150461,912.0108393559101,-88.91934385150461,912.0108393559101,-88.91934385150461,912.0108393559101,-88.82235299402062,912.0108393559101,-88.99080194402117
1513.561248436209,-89.34857186720477,1513.561248436209,-89.34857186720477,1513.561248436209,-89.34857186720477,1513.561248436209,-89.29010285478024,1513.561248436209,-89.39165177602482
2511.886431509581,-89.60710110197169,2511.886431509581,-89.60710110197169,2511.886431509581,-89.60710110197169,2511.886431509581,-89.57184732167384,2511.886431509581,-89.63308293329331
4168.693834703356,-89.76264876516244,4168.693834703356,-89.76264876516244,4168.693834703356,-89.76264876516244,4168.693834703356,-89.74137312170031,4168.693834703356,-89.77834068914696
6918.309709189368,-89.85597902500905,6918.309709189368,-89.85597902500905,6918.309709189368,-89.85597902500905,6918.309709189368,-89.84310518071743,6918.309709189368,-89.86549399527325
11481.53621496883,-89.91155543311937,11481.53621496883,-89.91155543311937,11481.53621496883,-89.91155543311937,11481.53621496883,-89.90370877313562,11481.53621496883,-89.91738762808676
19054.60717963248,-89.94394657066493,19054.60717963248,-89.94394657066493,19054.60717963248,-89.94394657066493,19054.60717963248,-89.93907016834451,19054.60717963248,-89.94762484967531
31622.77660168381,-89.96164353478611,31622.77660168381,-89.96164353478611,31622.77660168381,-89.96164353478611,31622.77660168381,-89.95845906881443,31622.77660168381,-89.96413213918711
52480.74602497728,-89.96928549847883,52480.74602497728,-89.96928549847883,52480.74602497728,-89.96928549847883,52480.74602497728,-89.96695817458557,52480.74602497728,-89.97123680571053
87096.35899560811,-89.96887578631167,87096.35899560811,-89.96887578631167,87096.35899560811,-89.96887578631167,87096.35899560811,-89.96679550534611,87096.35899560811,-89.97080132424378
144543.9770745928,-89.96030706846007,144543.9770745928,-89.96030706846007,144543.9770745928,-89.96030706846007,144543.9770745928,-89.95792849284335,144543.9770745928,-89.96271160929324
239883.2919019492,-89.94133343318752,239883.2919019492,-89.94133343318752,239883.2919019492,-89.94133343318752,239883.2919019492,-89.93803303075923,239883.2919019492,-89.94484731543848
398107.1705534975,-89.90698259862063,398107.1705534975,-89.90698259862063,398107.1705534975,-89.90698259862063,398107.1705534975,-89.90189519450908,398107.1705534975,-89.91252695858263
660693.4480075964,-89.84825688190928,660693.4480075964,-89.84825688190928,660693.4480075964,-89.84825688190928,660693.4480075964,-89.84004889516898,660693.4480075964,-89.85728508273884
1096478.196143186,-89.74979475876249,1096478.196143186,-89.74979475876249,1096478.196143186,-89.74979475876249,1096478.196143186,-89.73631478786147,1096478.196143186,-89.7646731855083
1819700.858609985,-89.58593649783931,1819700.858609985,-89.58593649783931,1819700.858609985,-89.58593649783931,1819700.858609985,-89.56365215618347,1819700.858609985,-89.61056398793126
3019951.720402018,-89.31442020217062,3019951.720402018,-89.31442020217062,3019951.720402018,-89.31442020217062,3019951.720402018,-89.27749584706153,3019951.720402018,-89.35524596514163
5011872.336272726,-88.86722695320114,5011872.336272726,-88.86722695320114,5011872.336272726,-88.86722695320114,5011872.336272726,-88.80601086485852,5011872.336272726,-88.93492235807668
8317637.711026715,-88.14144528624394,8317637.711026715,-88.14144528624394,8317637.711026715,-88.14144528624394,8317637.711026715,-88.0400160211241,8317637.711026715,-88.25361645810445
13803842.64602886,-87.01083215978937,13803842.64602886,-87.01083215978937,13803842.64602886,-87.01083215978937,13803842.64602886,-86.843161526152,13803842.64602886,-87.19626317950508
22908676.52767774,-85.45485292480276,22908676.52767774,-85.45485292480276,22908676.52767774,-85.45485292480276,22908676.52767774,-85.17936999468432,22908676.52767774,-85.75952875724548
38018939.63205615,-84.15087062289253,38018939.63205615,-84.15087062289253,38018939.63205615,-84.15087062289253,38018939.63205615,-83.70440433204503,38018939.63205615,-84.64476585999367
63095734.44801937,-86.27758970985317,63095734.44801937,-86.27758970985317,63095734.44801937,-86.27758970985317,63095734.44801937,-85.57171318515545,63095734.44801937,-87.05894160233798
104712854.80509,-100.6434080177232,104712854.80509,-100.6434080177232,104712854.80509,-100.6434080177232,104712854.80509,-99.59369013706976,104712854.80509,-101.8045585215123
173780082.8749377,-139.2731985436204,173780082.8749377,-139.2731985436204,173780082.8749377,-139.2731985436204,173780082.8749377,-138.1034069495649,173780082.8749377,-140.544343784806
288403150.3126608,-187.0386457987167,288403150.3126608,-187.0386457987167,288403150.3126608,-187.0386457987167,288403150.3126608,-186.0754672908773,288403150.3126608,-188.0153307844646
478630092.3226386,-224.4719503942543,478630092.3226386,-224.4719503942543,478630092.3226386,-224.4719503942543,478630092.3226386,-223.6895955200232,478630092.3226386,-225.1984247601905
794328234.724282,-256.0673352075723,794328234.724282,-256.0673352075723,794328234.724282,-256.0673352075723,794328234.724282,-255.7374105909761,794328234.724282,-256.3042605431803
1318256738.556408,-285.1251052578918,1318256738.556408,-285.1251052578918,1318256738.556408,-285.1251052578918,1318256738.556408,-285.3772523701198,1318256738.556408,-284.7656993649753
2187761623.949554,-312.6308907137484,2187761623.949554,-312.6308907137484,2187761623.949554,-312.6308907137484,2187761623.949554,-313.2874690395383,2187761623.949554,-311.8649274729742
3630780547.701016,-337.9908095758055,3630780547.701016,-337.9908095758055,3630780547.701016,-337.9908095758055,3630780547.701016,-338.7860832516646,3630780547.701016,-337.1048729276317
6025595860.743582,-361.0564104979784,6025595860.743582,-361.0564104979784,6025595860.743582,-361.0564104979784,6025595860.743582,-361.871418775717,6025595860.743582,-360.1843451853906
10000000000,-382.7613249740622,10000000000,-382.7613249740622,10000000000,-382.7613249740622,10000000000,-383.5650594638915,10000000000,-381.9290399195534
